70 1.00 5 1.35
160 0.65 145 3.00
170 3.00 160 1.70
45 1.05 5 1.55
65 2.75 165 3.00
75 1.15 90 1.25
160 3.00 155 3.00
180 1.55 170 3.00
75 0.95 100 0.85
60 0.55 15 1.95
95 0.90 105 3.00
155 2.55 80 2.25
70 2.55 170 3.00
170 3.00 165 3.00
160 0.50 50 3.00
160 2.40 150 3.00
105 2.75 60 0.80
5 0.95 155 2.20
60 0.80 95 0.85
100 0.75 70 3.00
75 2.40 175 3.00
70 2.15 175 2.70
50 1.65 90 0.50
125 1.05 115 3.00
35 1.30 90 0.85
165 3.00 165 3.00
60 1.35 95 0.95
70 1.15 130 0.45
100 1.95 90 3.00
60 1.20 75 1.85
125 1.05 100 2.90
140 2.40 85 0.20
70 2.30 170 3.00
65 0.80 160 1.65
65 2.25 165 2.55
55 0.55 175 3.00
130 1.05 115 2.75
160 3.00 155 3.00
135 0.80 105 3.00
80 1.40 5 2.30
80 0.60 175 3.00
75 0.50 175 2.75
155 1.75 60 2.15
70 3.00 155 2.20
